administrative_area_level_3;population
Albacete;388167
Alicante;1858683
Almería;716820
Álava;331549
Asturias;1022800
Ávila;157640
Badajoz;673559
Baleares;1149460
Barcelona;5664579
Vizcaya;1152651
Burgos;356958
Cáceres;394151
Cádiz;1240155
Cantabria;581078
Castellón;579962
Ciudad Real;495761
Córdoba;782979
La Coruña;1123990	
Cuenca;196329
Guipúzcoa;723576
Gerona;771044
Granada;914678
Guadalajara;257762
Huelva;521870
Huesca;220461
Jaén;633564
León;460001
Lérida;434930
Lugo;329587
Madrid;6663394
Málaga;1661785
Murcia;1493898
Navarra;654214
Orense;307651
Palencia;160980
Las Palmas;1120406
Pontevedra;942665
La Rioja;316798
Salamanca;330119
Santa Cruz de Tenerife;1032983
Segovia;153129
Sevilla;1942389
Soria;88636
Tarragona;804664
Teruel;134137
Toledo;694844
Valencia;2565124
Valladolid;519546
Zamora;172539
Zaragoza;964693
Ceuta;84777
Melilla;86487
